,id,retweet_count,favorite_count
953,705102439679201280,553,2280
954,705223444686888960,872,2739
955,705239209544720384,814,3178
956,705428427625635840,1831,4045
957,705442520700944385,1788,4718
958,705475953783398401,1001,3133
959,705591895322394625,1242,3357
960,705786532653883392,574,2064
961,705898680587526145,607,2513
962,705970349788291072,963,3328
963,705975130514706432,800,3282
964,706166467411222528,1741,5448
965,706265994973601792,993,2887
966,706291001778950144,506,1800
967,706310011488698368,8652,22696
968,706346369204748288,996,3648
969,706516534877929472,1116,3282
970,706538006853918722,1529,3666
971,706593038911545345,679,2285
972,706644897839910912,1184,2729
973,706681918348251136,1047,3513
974,706901761596989440,645,2193
975,707014260413456384,645,2436
976,707021089608753152,1482,4305
977,707038192327901184,856,2325
978,707059547140169728,732,2724
979,707297311098011648,860,2922
980,707315916783140866,691,2615
981,707377100785885184,1164,3481
982,707387676719185920,1410,3711
983,707411934438625280,648,2414
984,707420581654872064,748,2408
985,707610948723478529,6943,17945
986,707693576495472641,1080,3632
987,707741517457260545,659,2639
988,707776935007539200,1022,3469
989,707969809498152960,1048,2858
